seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1342495	1342595	101	*	X0002	55052	1337276	1342693	5418	-	0	inside	97	MRPL20
chr1	1370759	1370958	200	*	X0003	64856	1370903	1378262	7360	+	0	overlapStart	0	VWA1
chr1	6259485	6259617	133	*	X0010	6146	6245080	6259679	14600	-	0	inside	61	RPL22
chr1	6662477	6662631	155	*	X0016	9903	6650779	6662929	12151	-	0	inside	297	KLHL21
chr1	6761695	6761718	24	*	X0017	55735	6694228	6761966	67739	-	0	inside	247	DNAJC11
chr1	6761730	6761865	136	*	X0018	55735	6694228	6761966	67739	-	0	inside	100	DNAJC11
chr1	8877604	8877657	54	*	X0022	473	8412464	8877699	465236	-	0	inside	41	RERE
chr1	8938312	8938450	139	*	X0023	100505975	8938894	8939943	1050	+	443	upstream	443	ENO1-AS1
chr1	8938567	8938648	82	*	X0024	100505975	8938894	8939943	1050	+	245	upstream	245	ENO1-AS1
chr1	10458717	10458876	160	*	X0028	5226	10459085	10480201	21117	+	208	upstream	208	PGD
chr1	10459206	10459216	11	*	X0029	5226	10459085	10480201	21117	+	0	inside	120	PGD
chr1	11072493	11072512	20	*	X0031	23435	11072679	11085549	12871	+	166	upstream	166	TARDBP
chr1	11072615	11072673	59	*	X0032	23435	11072679	11085549	12871	+	5	upstream	5	TARDBP
chr1	11072791	11072842	52	*	X0033	23435	11072679	11085549	12871	+	0	inside	111	TARDBP
chr1	16939845	16939997	153	*	X0040	55672	16888922	16940100	51179	-	0	inside	102	NBPF1
chr1	19578071	19578229	159	*	X0043	23065	19542158	19578053	35896	-	17	upstream	17	EMC1
chr1	19578071	19578229	159	*	X0043	51154	19578075	19586622	8548	+	0	overlapStart	0	MRTO4
chr1	22109512	22109521	10	*	X0049	84196	22004792	22109688	104897	-	0	inside	166	USP48
chr1	22109701	22109726	26	*	X0050	84196	22004792	22109688	104897	-	12	upstream	12	USP48
chr1	24104989	24105126	138	*	X0051	100506963	24086872	24104787	17916	-	201	upstream	201	ELOA-AS1
chr1	24104989	24105126	138	*	X0051	57095	24104876	24114722	9847	+	0	inside	112	PITHD1
chr1	24285557	24285599	43	*	X0053	55629	24286301	24289949	3649	+	701	upstream	701	PNRC2
chr1	24969273	24969317	45	*	X0059	10250	24969594	24999772	30179	+	276	upstream	276	SRRM1
chr1	26185752	26185852	101	*	X0063	79000	26160497	26185848	25352	-	0	overlapStart	0	AUNIP
chr1	28655653	28655723	71	*	X0066	54797	28655513	28662478	6966	+	0	inside	139	MED18
chr1	28879644	28879687	44	*	X0069	54952	28879529	28905057	25529	+	0	inside	114	TRNAU1AP
chr1	28879754	28879767	14	*	X0070	54952	28879529	28905057	25529	+	0	inside	224	TRNAU1AP
chr1	28908569	28908664	96	*	X0071	677825	28906893	28907024	132	-	1544	upstream	1544	SNORA44
chr1	28908569	28908664	96	*	X0071	692073	28907432	28907565	134	-	1003	upstream	1003	SNORA16A
chr1	28908569	28908664	96	*	X0071	85028	28905050	28908383	3334	-	185	upstream	185	SNHG12
chr1	28969751	28969767	17	*	X0072	6883	28929609	28969604	39996	-	146	upstream	146	TAF12
chr1	32479539	32479571	33	*	X0082	10657	32479295	32526460	47166	+	0	inside	243	KHDRBS1
chr1	35658285	35658536	252	*	X0086	6421	35649201	35658743	9543	-	0	inside	206	SFPQ
chr1	35658552	35658709	158	*	X0087	6421	35649201	35658743	9543	-	0	inside	33	SFPQ
chr1	37980545	37980570	26	*	X0088	64769	37955561	37980420	24860	-	124	upstream	124	MEAF6
chr1	38513123	38513185	63	*	X0090	5453	38509523	38512450	2928	-	672	upstream	672	POU3F1
chr1	38513209	38513260	52	*	X0091	5453	38509523	38512450	2928	-	758	upstream	758	POU3F1
chr1	41157389	41157561	173	*	X0093	4802	41157242	41237276	80035	+	0	inside	146	NFYC
chr1	41249183	41249207	25	*	X0094	9132	41249684	41306124	56441	+	476	upstream	476	KCNQ4
chr1	45241539	45241573	35	*	X0100	26811	45241537	45241610	74	+	0	inside	1	SNORD55
chr1	45241539	45241573	35	*	X0100	6202	45241246	45244412	3167	+	0	inside	292	RPS8
